title,date,link
Russian TrickBot Gang Hacker Extradited to U.S. Charged with Cybercrime,29-Oct-21,https://thehackernews.com/2021/10/russian-trickbot-gang-hacker-extradited.html
Cyber Attack in Iran Reportedly Cripples Gas Stations Across the Country,27-Oct-21,https://thehackernews.com/2021/10/cyber-attack-in-iran-reportedly.html
Latest Report Uncovers Supply Chain Attacks by North Korean Hackers,27-Oct-21,https://thehackernews.com/2021/10/latest-report-uncovers-supply-chain.html
Hackers Exploited Popular BillQuick Billing Software to Deploy Ransomware,25-Oct-21,https://thehackernews.com/2021/10/hackers-exploited-popular-billquick.html
'Lone Wolf' Hacker Group Targeting Afghanistan and India with Commodity RATs,22-Oct-21,https://thehackernews.com/2021/10/lone-wolf-hacker-group-targeting.html
Two Eastern Europeans Sentenced for Providing Bulletproof Hosting to Cyber Criminals,20-Oct-21,https://thehackernews.com/2021/10/two-eastern-europeans-sentenced-for.html
LightBasin Hackers Breach at Least 13 Telecom Service Providers Since 2019,20-Oct-21,https://thehackernews.com/2021/10/lightbasin-hackers-breach-at-least-13.html
Google: We're Tracking 270 State-Sponsored Hacker Groups From Over 50 Countries,14-Oct-21,https://thehackernews.com/2021/10/google-were-tracking-270-state.html
Microsoft Warns of Iran-Linked Hackers Targeting US and Israeli Defense Firms,11-Oct-21,https://thehackernews.com/2021/10/microsoft-warns-of-iran-linked-hackers.html
Ransomware Group FIN12 Aggressively Going After Healthcare Targets,8-Oct-21,https://thehackernews.com/2021/10/ransomware-group-fin12-aggressively.html
Researchers Warn of FontOnLake Rootkit Malware Targeting Linux Systems,8-Oct-21,https://thehackernews.com/2021/10/researchers-warn-of-fontonlake-rootkit.html
New U.S. Government Initiative Holds Contractors Accountable for Cybersecurity,7-Oct-21,https://thehackernews.com/2021/10/us-justice-dept-launches-civil-cyber.html
Iranian Hackers Abuse Dropbox in Cyberattacks Against Aerospace and Telecom Firms,6-Oct-21,https://thehackernews.com/2021/10/iranian-hackers-abuse-dropbox-in.html
New Study Links Seemingly Disparate Malware Attacks to Chinese Hackers,5-Oct-21,https://thehackernews.com/2021/10/new-study-links-seemingly-disparate.html
New Tomiris Backdoor Found Linked to Hackers Behind SolarWinds Cyberattack,30-Sep-21,https://thehackernews.com/2021/09/new-tomiris-backdoor-found-linked-to.html
A New APT Hacker Group Spying On Hotels and Governments Worldwide,24-Sep-21,https://thehackernews.com/2021/09/a-new-apt-hacker-group-spying-on-hotels.html
US Sanctions Cryptocurrency Exchange SUEX for Aiding Ransomware Gangs,21-Sep-21,https://thehackernews.com/2021/09/us-sanctions-cryptocurrency-exchange.html
Windows MSHTML 0-Day Exploited to Deploy Cobalt Strike Beacon in Targeted Attacks,16-Sep-21,https://thehackernews.com/2021/09/windows-mshtml-0-day-exploited-to.html
Linux Implementation of Cobalt Strike Beacon Targeting Organizations Worldwide,13-Sep-21,https://thehackernews.com/2021/09/linux-implementation-of-cobalt-strike.html
Experts Link Sidewalk Malware Attacks to Grayfly Chinese Hacker Group,10-Sep-21,https://thehackernews.com/2021/09/experts-link-sidewalk-malware-attacks.html
